,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
RP11.61L19.1,2,0,0,0,0,1,3,0,2,0,3,0,0,0,0
RP11.744K17.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIR548H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR548AE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.449D8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP000868.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL356750.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC118063.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.454P7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP13.104F24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.6N17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AL049791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.599B13.7,0,0,0,3,0,0,2,8,0,14,0,0,2,0,1
AL590085.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2200P10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL712P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2008P7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL445464.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPLINC,0,0,0,0,0,0,0,0,0,0,4,0,21,15,19
Z97055.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AP001634.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.121A13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.543H23.2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
RP11.862L9.3,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0
RP11.793A3.2,0,5,3,10,0,5,0,0,0,0,0,1,0,0,0
AC083906.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.370A5.1,1,1,0,11,2,2,0,0,34,7,0,0,0,0,0
MIR4482,17,15,16,40,18,17,29,21,0,20,28,15,30,7,28
ITM2BP1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
AP003096.1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0
MIR3910.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF186996.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.557B23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP000719.1,2,2,1,0,1,0,0,8,0,2,11,14,33,3,12
AC097506.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004595.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL123P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC116606.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.848P1.9,340,198,379,255,352,194,316,199,0,387,321,358,292,267,323
MIR4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP6.114E22.1,0,0,0,0,0,0,13,0,0,0,0,0,1,10,6
RP11.19P22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL408P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.1148O4.1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0
RP1.41C23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL353662.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RP11.744K17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4634,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11.692N5.2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AC005616.1,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0
RP1.266L20.9,0,0,13,5,14,12,22,1,115,10,0,19,14,2,4
AC005546.2,9,4,1,11,10,7,0,5,0,0,0,1,2,0,0
AKR1B1P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.173A16.2,0,0,1,0,6,5,0,0,0,2,2,0,0,0,0
RP11.567M16.5,3,0,9,6,0,4,2,8,0,0,0,0,0,28,0
CTB.171A8.1,0,38,0,20,0,104,0,0,0,6,0,0,0,0,0
CTC.559E9.1,30,5,39,73,31,42,90,115,0,73,49,38,144,200,79
RP11.1058N17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005357.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006116.22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
RP5.1022P6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A6P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.448F2.6,10,3,5,0,19,0,31,39,0,15,65,46,115,5,88
CTC.548K16.2,31,50,45,43,25,57,43,44,273,64,50,29,59,61,47
MRPS5P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF793.AS1,26,25,9,0,9,6,10,27,2,6,24,17,19,25,40
RP11.798G7.8,0,3,1,0,4,2,5,8,0,0,9,13,18,6,0
MIR3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBP9,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0
RP11.15A1.7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTC.499B15.6,3,9,1,2,2,3,0,10,0,0,0,0,2,6,0
RP11.693J15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.154H12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.434D2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.70G10.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RP11.400F19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.1252D15.1,0,2,1,2,5,8,4,4,0,3,2,3,0,1,5
AC006116.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC005775.2,2,0,4,7,5,10,15,8,0,6,17,6,2,24,27
RP11.332H18.3,1,0,1,0,0,0,2,11,0,0,0,0,2,0,3
CTC.215O4.4,4,2,1,0,0,4,4,0,0,0,0,4,0,0,0
AC119403.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC104532.3,3,1,12,7,4,12,5,0,0,9,8,1,6,0,14
RP11.15E18.2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
AC005262.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
MRPL37P1,31,46,23,44,27,2,67,77,0,50,63,87,209,110,46
RP11.799D4.4,245,178,267,117,189,225,530,261,1899,501,255,525,730,289,630
CTD.2623N2.5,0,0,0,2,0,8,0,0,0,7,0,0,0,0,0
AD000091.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LINC01538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.618P17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.701H16.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RP11.820I16.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP11.49K24.4,1,0,0,5,0,0,0,0,0,5,0,0,4,0,3
AC006126.3,0,0,1,1,0,2,0,1,0,0,0,0,0,4,0
AC005786.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAM106DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.973H7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11.400F19.6,1,0,0,0,1,0,0,3,0,0,0,0,2,0,4
AC005625.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FXYD1,0,0,0,2,0,1,1,0,0,0,8,1,4,0,0
RP11.712P20.2,0,0,0,1,2,1,0,0,0,14,0,0,5,0,0
AARSD1,85,30,45,74,82,44,80,84,2,171,101,92,178,51,56
RP11.116O18.1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
RP11.773H22.4,4,2,3,2,7,4,7,13,0,0,26,3,5,4,0
RP11.806H10.4,10,0,2,0,0,0,3,0,0,13,1,0,14,11,11
OR4F8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.3162L10.3,0,15,1,0,0,3,0,0,0,0,0,0,1,0,0
FARSA.AS1,11,9,11,18,19,23,10,6,0,16,39,14,11,24,22
AC079466.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTC.459F4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2369P2.5,0,0,0,1,4,0,0,0,0,0,0,0,0,4,2
LINC01180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.552F3.4,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0
RP11.799D4.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTC.232P5.1,67,17,33,12,28,35,69,21,0,57,36,49,103,83,126
POLR3GP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2329C7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.354P11.8,4,0,1,0,0,0,0,0,88,0,0,0,3,2,0
RP11.749H17.1,2,0,1,0,9,0,1,0,0,0,0,0,1,0,0
FTLP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLNLR.284B4.2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0
DHX40P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4.657D16.3,8,1,4,4,7,1,7,0,146,6,21,11,59,3,12
RP11.127I20.7,11,0,2,0,1,2,10,7,0,4,2,6,3,0,10
RP11.703I16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.886H22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.936I5.1,13,3,5,13,1,6,21,36,144,18,43,14,20,16,16
RP11.27G24.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AC006538.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.242D8.1,59,102,84,152,68,105,72,60,0,49,46,34,101,16,69
CTD.2659N19.4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
AC002984.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTC.448F2.4,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0
CTB.31O20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.120M18.2,46,12,55,15,30,36,74,69,2,42,82,77,94,60,38
CTB.50L17.16,8,11,20,11,7,39,18,3,0,3,23,11,6,20,30
CTC.360P9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2171N6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LINC01532,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
RP11.800A18.4,0,0,3,0,0,6,0,9,32,3,0,3,0,0,0
RP11.75C10.9,0,0,0,0,0,3,0,0,0,0,20,0,8,0,0
NTF6A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC084219.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A16P,275,324,217,356,225,307,188,286,353,213,322,241,324,261,282
CTD.2588C8.8,5,0,4,0,0,1,5,0,0,10,0,5,4,1,1
RP11.92C4.3,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
AC011524.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF4.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.50L17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.807E13.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CTD.2562J15.4,4,0,0,4,2,0,5,0,0,2,0,3,4,0,6
RP11.384O8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.1094M14.10,0,0,0,0,4,3,2,0,0,0,2,0,0,0,2
AC005559.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005757.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.1096D5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.58G13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.35G9.3,130,87,91,128,56,101,151,330,29,222,317,259,179,140,140
ZNF850,74,39,90,4,109,43,114,154,189,34,52,158,61,107,22
CTD.3193K9.4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,8
AC005757.6,2,0,0,0,7,7,0,0,0,0,0,0,1,0,0
AC006126.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F3P1,6,5,19,5,19,18,17,79,0,14,23,11,18,23,0
RP11.589P10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.566K11.7,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
AC002398.13,1,0,1,1,1,1,0,0,0,0,0,0,2,1,0
RP11.128P17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.30L5.1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
CTD.3162L10.1,0,0,16,2,10,9,0,0,0,11,0,9,0,0,4
CTD.2540B15.10,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0
RP11.486P11.1,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0
AC005336.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11.456O19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP11.15A1.3,53,18,15,9,11,12,24,11,0,7,14,20,16,9,17
AC005943.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGES3L,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0
RP11.760L24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2659N19.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006130.3,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0
UXT.AS1,16,0,1,0,10,5,1,4,0,0,1,6,0,0,0
CTD.2246P4.1,0,0,5,0,1,0,0,0,10,0,8,0,0,0,0
RP11.866E20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.64C12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.10K17.6,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
RP11.165E7.1,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0
AC005256.1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
RP11.1094M14.5,70,8,61,37,56,40,93,119,0,41,31,135,111,52,53
RP11.434D2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC58P3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
RP11.127I20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.666A8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.820I16.1,0,0,0,0,6,0,1,0,0,5,0,0,10,0,0
ASB16.AS1,467,467,363,495,194,350,403,673,840,780,767,548,395,440,420
CTC.400I9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.510F12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P61,18,0,0,13,10,0,0,18,0,0,0,0,37,3,0
RP11.666A8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.15J10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.115N12.1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
CTC.499B15.8,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
AC005789.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTBP2P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.25B13.9,0,1,1,0,0,5,5,9,0,2,2,2,6,4,1
CTC.360P9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2319I12.5,0,0,0,0,0,0,2,7,0,5,17,6,0,0,0
CTD.2537I9.13,9,7,6,14,0,0,6,8,0,13,0,7,8,1,1
SLC14A2.AS1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11.325K19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTF6G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILF3.AS1,1224,883,1087,1140,1101,1885,2855,3013,1650,3103,2649,3514,2847,2385,3782
RP11.846C15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.686D22.7,46,37,29,37,34,35,1,0,1,0,22,0,14,0,2
TBC1D3P1.DHX40P1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2369P2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF561.AS1,147,107,116,152,103,119,237,147,2,196,98,123,154,133,98
PCAT19,0,0,1,0,0,0,22,16,0,34,0,0,1,13,21
RP11.861E21.1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
CTD.2378E21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2587H24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.839G9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF038458.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CTB.129P6.11,5,8,0,42,1,1,3,14,0,16,19,15,5,17,12
CTD.3064H18.2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
RP11.64C12.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC010525.4,3,4,4,4,4,2,1,2,89,7,7,0,5,2,9
RPL10P15,1,10,8,6,6,4,5,4,11,7,22,13,3,11,5
AD000671.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2020K17.1,917,2887,654,3452,535,3992,2573,2402,4509,3211,2433,3384,2972,1815,2859
AC004490.1,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0
CTD.2357A8.3,76,10,21,29,27,2,89,143,0,61,84,20,31,71,57
CTD.3113P16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.31O20.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RP11.795F19.5,0,0,0,2,7,0,0,2,0,12,24,14,0,0,3
RP11.449J21.5,8,0,1,0,1,0,79,19,0,36,0,17,3,13,34
OR1AC1P,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
CTD.2540B15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.332H18.5,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0
HMGB3P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011518.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.146N18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD000091.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.53B2.3,19,0,0,3,2,0,0,25,0,1,0,6,13,3,18
RP11.15K2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005954.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005262.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.322E11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.31O20.8,0,0,0,2,0,1,1,11,4,3,0,4,2,9,1
CTD.3162L10.5,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RP11.677O4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC067968.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006116.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.383D22.1,0,0,2,6,0,0,0,3,0,0,0,0,18,0,0
CTC.548K16.1,0,0,0,2,0,0,9,0,0,0,0,0,0,11,0
AC005777.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.550B14.6,9,1,6,3,2,0,2,3,0,0,0,0,3,6,4
RP11.411B10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.100E5.2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
CTD.2528L19.6,37,2,16,13,12,19,0,24,784,33,55,21,114,14,24
CTBP2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR1M4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPMTP1,3,0,0,0,2,1,0,3,9,0,0,0,0,3,6
CTB.54O9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005391.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RP11.1072C15.4,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0
SDHDP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC084219.3,39,37,23,19,52,23,19,12,0,36,38,37,83,14,21
RP11.78A19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.527L4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11.318A15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB.55O6.12,97,56,63,48,57,64,92,103,37,98,95,45,98,80,129
CALM2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.397A16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.512J12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.510F12.4,0,3,6,6,16,0,3,6,0,2,2,2,1,0,4
RP11.879F14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.756J15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PHF5CP,2,0,0,0,0,0,0,13,0,6,1,0,5,0,1
CTD.2006C1.13,0,2,0,2,6,2,2,0,0,0,0,1,7,0,0
AC007136.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPCP20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1.200G19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTP4A2P1,6,12,8,4,11,3,1,1,0,2,4,5,14,4,9
RP11.767C4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.512J12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.15A1.2,4,2,0,3,0,5,0,1,0,6,0,2,8,0,17
AC006116.12,9,5,9,0,3,4,0,2,0,2,5,3,17,0,2
RP11.116O18.3,0,0,13,0,1,1,0,1,0,0,4,2,11,2,6
RP1.193H18.2,34,4,29,1,2,14,57,49,0,12,30,41,108,1,3
MIR212,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RP11.813F20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.429L19.3,0,0,3,1,7,1,6,0,0,4,18,1,0,8,17
RP11.798G7.6,2,2,1,0,1,0,1,6,0,0,4,0,3,2,0
RP11.861E21.2,0,0,0,12,0,0,0,0,3,1,0,0,0,0,0
MIR132,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AC005624.2,0,0,0,0,0,0,0,0,35,2,0,4,0,0,0
RP11.797E24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPGP4,0,0,1,0,0,0,5,0,2,0,0,0,0,3,0
AC011518.1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
AC005954.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCN6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.264B14.1,1,0,1,4,5,3,0,3,0,0,0,2,0,0,0
RP11.693L9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5.1067M6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2659N19.9,0,0,2,0,1,0,8,20,0,0,0,8,22,6,0
AC007773.2,25,13,17,1,16,10,9,6,0,36,0,0,12,9,4
CTC.265F19.3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
RP11.685A21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010642.1,41,69,49,33,27,42,107,84,0,16,0,55,51,4,65
AC005336.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010504.2,0,5,2,0,2,12,3,0,0,0,0,1,17,4,13
CTC.260E6.9,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
CTD.2132N18.2,2,3,0,10,0,16,1,38,0,9,0,3,5,13,0
RP11.194N12.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC005597.1,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0
AC005498.4,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0
WDR7.OT1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.126O1.5,18,63,35,46,51,88,3,45,0,49,55,69,26,34,16
RP11.640I15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.49K24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005786.5,7,0,1,0,0,0,2,0,0,7,0,0,1,0,4
CTB.31O20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA3P16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CTB.184G21.3,0,0,4,12,1,2,0,9,0,0,0,0,0,0,0
ZNF861P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093074.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.794M8.1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
AC011524.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4F10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005307.3,0,0,4,0,29,0,0,0,0,0,0,0,0,0,6
CTB.31O20.4,7,1,8,50,23,9,15,65,0,15,17,15,33,35,14
CTD.2085J24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.798G7.7,1,1,0,3,0,0,2,4,0,2,3,1,0,0,3
RP11.64C12.6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CTD.2319I12.4,24,0,1,27,3,1,90,59,183,221,186,47,56,77,75
RP11.973H7.3,12,0,2,0,4,7,0,17,0,4,2,0,29,19,2
RP11.118B18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC139100.3,0,0,10,0,3,0,1,1,0,10,11,7,11,4,3
LINC01255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.209M4.1,10,9,7,6,0,29,41,38,0,15,15,29,28,0,24
ZNF790.AS1,95,147,82,181,29,159,70,155,16,186,95,177,153,87,96
CTB.50L17.5,0,0,3,9,1,5,0,1,0,0,16,14,7,10,6
RP11.1151B14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.448F2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTD.2008P7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CTD.2162K18.4,4,6,0,2,0,4,7,4,0,0,39,0,0,6,1
CTD.2132N18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC.232P5.3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
RP11.75C10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
